1_Player,2_Nation,3_Pos,4_Squad,5_Comp,6_Age,7_Born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Expected_xG,Expected_npxG,Expected_xA,Expected_npxG+xA,Per 90 Minutes_xG,Per 90 Minutes_xA,Per 90 Minutes_xG+xA,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xA,33_Matches
Jim Allevinah,ga GAB,FW,Clermont Foot,fr Ligue 1,27-016,1995,21,10,1018,11.3,1,2,1,0,0,1,0,0.09,0.18,0.27,0.09,0.27,2.0,2.0,1.7,3.7,0.18,0.15,0.33,0.18,0.33,Matches
Dele Alli,eng ENG,"MF,FW",Tottenham,eng Premier League,25-338,1996,10,8,657,7.3,1,0,0,1,1,1,0,0.14,0.00,0.14,0.00,0.00,1.5,0.7,0.8,1.5,0.20,0.11,0.31,0.10,0.21,Matches
Dele Alli,eng ENG,MF,Everton,eng Premier League,25-338,1996,6,0,175,1.9,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.3,0.3,0.04,0.13,0.17,0.04,0.17,Matches
Miguel Almirón,py PAR,"MF,FW",Newcastle Utd,eng Premier League,28-033,1994,21,12,1067,11.9,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,1.0,1.0,0.5,1.4,0.08,0.04,0.12,0.08,0.12,Matches
Marcos Alonso,es ESP,DF,Chelsea,eng Premier League,31-077,1990,19,16,1448,16.1,1,3,1,0,0,6,0,0.06,0.19,0.25,0.06,0.25,1.8,1.8,2.8,4.6,0.11,0.18,0.29,0.11,0.29,Matches
Giorgio Altare,it ITA,DF,Cagliari,it Serie A,23-218,1998,10,8,705,7.8,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,1.0,1.0,0.0,1.0,0.12,0.00,0.13,0.12,0.13,Matches
Hugo Álvarez,es ESP,FW,Celta Vigo,es La Liga,36-267,1985,1,0,11,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.2,1.91,0.00,1.91,1.91,1.91,Matches
Yeray Álvarez,es ESP,DF,Athletic Club,es La Liga,27-050,1995,15,15,1305,14.5,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.1,0.4,0.02,0.00,0.03,0.02,0.03,Matches
Dani Alves,br BRA,DF,Barcelona,es La Liga,38-313,1983,5,5,422,4.7,1,2,1,0,0,1,1,0.21,0.43,0.64,0.21,0.64,0.1,0.1,1.2,1.3,0.02,0.26,0.28,0.02,0.28,Matches
Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
