1_Player,3_Pos,4_Squad,6_Age,Performance_Gls,Performance_Ast
Šime Vrsaljko,DF,Atlético Madrid,30-064,1,1
Nikola Vukčević,MF,Levante,30-092,0,0
Matěj Vydra,FW,Burnley,29-318,1,1
Walace,MF,Udinese,26-345,0,0
Theo Walcott,"MF,FW",Southampton,32-364,0,0
Luca Waldschmidt,"MF,FW",Wolfsburg,25-300,1,0
Kyle Walker,DF,Manchester City,31-291,0,2
Kyle Walker-Peters,DF,Southampton,24-336,1,2
Sebastian Walukiewicz,DF,Cagliari,21-344,0,0
Aaron Wan-Bissaka,DF,Manchester Utd,24-109,0,0
Paul Wanner,"FW,MF",Bayern Munich,16-082,0,0
Joel Ward,DF,Crystal Palace,32-137,0,0
James Ward-Prowse,MF,Southampton,27-134,6,4
Magnus Warming,"FW,DF",Torino,21-280,0,0
Daniel Wass,DF,Atlético Madrid,32-288,1,1
Ollie Watkins,FW,Aston Villa,26-075,7,1
Timothy Weah,"MF,FW",Lille,22-021,0,3
Adam Webster,DF,Brighton,27-070,2,0
Wout Weghorst,FW,Wolfsburg,29-220,7,3
Noah Weißhaupt,"MF,FW",Freiburg,20-176,0,0
Danny Welbeck,"FW,MF",Brighton,31-109,3,0
Timo Werner,"FW,MF",Chelsea,26-009,1,1
Ashley Westwood,MF,Burnley,31-348,0,3
Ben White,DF,Arsenal,24-158,0,0
Silvan Widmer,DF,Mainz 05,29-010,2,3
Georginio Wijnaldum,MF,Paris S-G,31-124,1,3
Jetro Willems,DF,Greuther Fürth,27-350,0,0
Brandon Williams,DF,Norwich City,21-193,0,1
Iñaki Williams,FW,Athletic Club,27-273,7,2
Neco Williams,DF,Liverpool,20-336,0,1
Nico Williams,MF,Athletic Club,19-246,0,0
Joe Willock,MF,Newcastle Utd,22-207,2,0
Callum Wilson,FW,Newcastle Utd,30-016,6,0
Patrick Wimmer,"FW,MF",Arminia,20-289,3,6
Jonas Wind,FW,Wolfsburg,23-036,2,0
Harry Winks,MF,Tottenham,26-041,0,1
Frederik Winther,DF,Augsburg,21-070,0,0
Florian Wirtz,"MF,FW",Leverkusen,18-316,7,10
Yoane Wissa,"FW,MF",Brentford,25-193,3,0
Axel Witsel,"MF,DF",Dortmund,33-062,0,0
Hannes Wolf,"FW,MF",M'Gladbach,22-333,0,0
Marius Wolf,"DF,FW",Dortmund,26-292,2,0
Jeong Woo-yeong,"FW,MF",Freiburg,22-176,4,0
Chris Wood,FW,Burnley,30-098,4,0
Freddie Woodman,GK,Newcastle Utd,25-011,0,0
Christopher Wooh,DF,Lens,20-178,0,1
Joscha Wosz,DF,RB Leipzig,19-238,0,0
Xeka,MF,Lille,27-125,2,0
Granit Xhaka,MF,Arsenal,29-169,0,1
Sekou Yansané,FW,Paris S-G,18-321,0,0
Andriy Yarmolenko,"FW,MF",West Ham,32-143,1,0
Yusuf Yazıcı,"MF,FW",Lille,25-045,1,1
Kelvin Yeboah,FW,Genoa,21-313,0,0
Gerard Yepes,"MF,DF",Sampdoria,19-202,0,0
Burak Yılmaz,FW,Lille,36-243,4,3
Okay Yokuşlu,"MF,DF",Getafe,28-006,0,0
Maya Yoshida,DF,Sampdoria,33-203,2,2
Ashley Young,"DF,FW",Aston Villa,36-249,0,2
Zaydou Youssouf,MF,Saint-Étienne,22-247,0,0
Mattia Zaccagni,"MF,FW",Hellas Verona,26-272,6,4
Dan-Axel Zagadou,DF,Dortmund,22-285,0,0
Wilfried Zaha,FW,Crystal Palace,29-125,9,1
Denis Zakaria,"MF,DF",M'Gladbach,25-115,3,1
Joseba Zaldúa,DF,Real Sociedad,29-264,0,0
Nicola Zalewski,DF,Roma,20-051,0,0
Andre-Frank Zambo Anguissa,MF,Napoli,26-119,0,0
Nicolò Zaniolo,FW,Roma,22-256,2,1
Alessandro Zanoli,DF,Napoli,21-163,0,0
Mattia Zanotti,DF,Inter,19-063,0,0
Duván Zapata,FW,Atalanta,30-348,9,4
Gabriele Zappa,DF,Cagliari,22-083,0,0
Davide Zappacosta,DF,Atalanta,29-277,1,3
Oier Zarraga,MF,Athletic Club,23-070,1,0
Simone Zaza,"FW,MF",Torino,30-263,0,0
Akim Zedadka,DF,Clermont Foot,26-289,0,3
Deyovaisio Zeefuik,"DF,MF",Hertha BSC,24-004,0,0
Marvin Zeegelaar,DF,Udinese,31-215,0,0
Arber Zeneli,FW,Reims,27-018,0,3
Robin Zentner,GK,Mainz 05,27-138,0,0
Andi Zeqiri,"FW,MF",Augsburg,22-266,2,1
Mehdi Zerkane,"MF,DF",Bordeaux,22-243,0,0
Edon Zhegrova,MF,Lille,22-349,1,0
Luca Zidane,"GK,MF",Rayo Vallecano,23-306,0,0
Piotr Zieliński,MF,Napoli,27-299,5,5
David Zima,DF,Torino,21-127,0,0
Christoph Zimmermann,DF,Norwich City,29-062,0,0
Oleksandr Zinchenko,DF,Manchester City,25-090,0,1
Hakim Ziyech,"FW,MF",Chelsea,28-361,4,2
Jeroen Zoet,GK,Spezia,31-068,0,0
Simon Zoller,FW,Bochum,30-262,2,2
Nadir Zortea,"DF,MF",Salernitana,22-269,1,2
Banhie Zoukrou,DF,Troyes,18-312,0,0
Kurt Zouma,DF,West Ham,27-139,1,0
Igor Zubeldia,DF,Real Sociedad,24-350,0,1
Martín Zubimendi,MF,Real Sociedad,23-041,1,1
Szymon Żurkowski,MF,Empoli,24-171,5,1
Martin Ødegaard,MF,Arsenal,23-088,5,3
Milan Đurić,FW,Salernitana,31-297,4,2
Filip Đuričić,"MF,FW",Sassuolo,30-044,2,1
